MSE(x);MSE(y);MSE(z);RMSE(x);RMSE(y);RMSE(z);Euclidian Distance(AVG);Jitter(AVG)
480,26 ; 39,56 ; 119,42
;21,91 ; 6,29 ; 10,93;21,503309;167,650000
101,28 ; 33,59 ; 60,17
;10,06 ; 5,8 ; 7,76;11,478503;183,540000
91,98 ; 35,3 ; 91,54
;9,59 ; 5,94 ; 9,57;12,195755;189,690000
70,09 ; 33,57 ; 55,16
;8,37 ; 5,79 ; 7,43;10,136746;187,400000
98,98 ; 35,93 ; 51,29
;9,95 ; 5,99 ; 7,16;11,444902;189,330000
56,77 ; 34,58 ; 46,93
;7,53 ; 5,88 ; 6,85;9,134872;187,970000
45,11 ; 24,19 ; 34,33
;6,72 ; 4,92 ; 5,86;8,041673;189,330000
39,21 ; 19,88 ; 31,6
;6,26 ; 4,46 ; 5,62;8,037407;190,410000
21,87 ; 12,71 ; 40,67
;4,68 ; 3,56 ; 6,38;7,099451;187,150000
553,96 ; 180,46 ; 1759,89
;23,54 ; 13,43 ; 41,95;40,902714;195,010000
23,56 ; 13,47 ; 26,41
;4,85 ; 3,67 ; 5,14;6,378340;194,010000
22,38 ; 14,3 ; 23,31
;4,73 ; 3,78 ; 4,83;6,081562;199,920000
